	a	RELACIONADO	b
174	delito_de_daños_por_incendio	RELACIONADO	incendio
175	fracaso_de_la_intervencion	RELACIONADO	operacion_quirurgica
176	fracaso_de_la_intervencion	RELACIONADO	intervencion_quirurgica_con_anestesia
177	delito_de_incendio_con_peligro_para_la_vida	RELACIONADO	incendio
178	delito_de_incendio_con_peligro_para_la_vida	RELACIONADO	puesta_en_peligro_de_la_vida
179	intervencion_de_la_propia_victima	RELACIONADO	ausencia_del_perjudicado
180	intervencion_de_la_propia_victima	RELACIONADO	autoproteccion_de_la_victima
181	intervencion_de_las_escuchas	RELACIONADO	autorizacion_judicial_de_escuchas_telefonicas
182	desconocimiento_de_la_causa_del_incendio	RELACIONADO	incendio
183	intervencion_de_las_escuchas	RELACIONADO	escucha_de_la_grabacion
184	desconocimiento_de_la_causa_del_incendio	RELACIONADO	causa_del_incendio
185	intervencion_de_las_escuchas	RELACIONADO	escucha_del_telefono_movil
186	desconocimiento_de_la_causa_del_incendio	RELACIONADO	ignorancia_absoluta
187	responsabilidad_de_los_daños_causados_por_incendio	RELACIONADO	incendio
188	incendio_en_inmueble	RELACIONADO	bien_inmueble
189	intervencion_de_las_escuchas	RELACIONADO	utilizacion_de_artificios_de_escucha
190	intervencion_telefonica	RELACIONADO	telefonia
191	intervencion_telefonica	RELACIONADO	autorizacion_judicial_de_escuchas_telefonicas
192	incoacion_de_expediente_disciplinario	RELACIONADO	tramitacion_del_expediente_disciplinario
193	incoacion_de_expediente_disciplinario	RELACIONADO	procedimiento_disciplinario
194	regimen_disciplinario_de_la_guardia_civil	RELACIONADO	comportamiento_de_la_guardia_civil
195	regimen_disciplinario_de_la_guardia_civil	RELACIONADO	agente_de_la_guardia_civil
196	regimen_disciplinario_de_la_guardia_civil	RELACIONADO	abuso_de_atribuciones
197	regimen_disciplinario_de_los_funcionarios	RELACIONADO	delito_de_actividades_prohibidas_a_funcionarios_publicos
198	regimen_disciplinario_de_los_funcionarios	RELACIONADO	regimen_estatutario_de_los_funcionarios_publicos
199	consecuencia_del_incendio	RELACIONADO	incendio
200	consecuencia_del_incendio	RELACIONADO	consecuencias_patrimoniales
201	regimen_disciplinario_del_cuerpo_nacional_de_policia	RELACIONADO	cuerpo_nacional_de_policia
202	gastos_de_extincion_de_incendio	RELACIONADO	extincion_de_incendios
203	gastos_de_extincion_de_incendio	RELACIONADO	incendio
204	culpa_del_incendio	RELACIONADO	incendio
205	labores_de_extincion_de_incendio	RELACIONADO	bombero
206	delito_de_incendio_en_bienes_propios	RELACIONADO	bienes_propios
207	delito_de_incendio_terrorista	RELACIONADO	incendio
208	delito_de_incendio_terrorista	RELACIONADO	terrorismo
209	incendio_por_causas_desconocidas	RELACIONADO	causa_del_incendio
210	incendio_en_nave	RELACIONADO	nave_industrial
211	humo_del_incendio	RELACIONADO	inhalacion_de_humo
212	humo_del_incendio	RELACIONADO	incendio
213	humo_del_incendio	RELACIONADO	afectacion_por_incendio
214	humo_del_incendio	RELACIONADO	consecuencia_del_incendio
215	magnitud_del_incendio	RELACIONADO	incendio
216	inicio_del_incendio	RELACIONADO	incendio
217	responsabilidad_civil_por_incendio	RELACIONADO	incendio
218	medidas_de_seguridad_contra_incendios	RELACIONADO	incendio
219	medidas_de_prevencion_de_incendios_forestales	RELACIONADO	incendio_forestal
220	preaviso_de_elecciones_sindicales	RELACIONADO	elecciones_sindicales
221	preaviso_de_elecciones_sindicales	RELACIONADO	proceso_electoral
222	finalizacion_del_plazo_de_preaviso	RELACIONADO	plazo_de_preaviso
223	concesion_de_preaviso	RELACIONADO	preaviso
224	compensacion_por_falta_de_preaviso	RELACIONADO	falta_de_preaviso
225	salarios_del_periodo_de_preaviso	RELACIONADO	preaviso
226	desistimiento_con_exigencia_de_preaviso	RELACIONADO	preaviso
227	preaviso_de_huelga	RELACIONADO	derecho_de_huelga
228	falta_de_preaviso_por_parte_del_progenitor	RELACIONADO	preaviso
229	cese_temporal_de_la_convivencia	RELACIONADO	convivencia_familiar
230	cese_temporal_de_la_convivencia	RELACIONADO	convivencia_conyugal
231	copia_del_escrito_de_preaviso	RELACIONADO	escrito
232	copia_del_escrito_de_preaviso	RELACIONADO	preaviso
233	preaviso_pactado_en_el_contrato	RELACIONADO	contrato
234	preaviso_pactado_en_el_contrato	RELACIONADO	notificacion_con_preaviso
235	incumplimiento_de_la_obligacion_de_preaviso	RELACIONADO	preaviso
236	obligacion_de_preaviso	RELACIONADO	preaviso
237	incumplimiento_de_la_obligacion_de_preaviso	RELACIONADO	obligacion_de_preaviso
238	familia_normalizada	RELACIONADO	familia_estructurada
239	domicilio_habitual_de_la_familia	RELACIONADO	ambito_familiar
240	domicilio_habitual_de_la_familia	RELACIONADO	entorno_familiar
241	cumplimiento_del_plazo_de_preaviso	RELACIONADO	cumplimiento_de_requisitos
242	preaviso_a_los_representantes_de_los_trabajadores	RELACIONADO	representantes_de_los_trabajadores
243	incumplimiento_total_o_parcial_del_preaviso	RELACIONADO	preaviso
244	incumplimiento_total_o_parcial_del_preaviso	RELACIONADO	incumplimiento_de_requisitos
245	omision_del_plazo_de_preaviso	RELACIONADO	omision_de_obligacion
246	familia_del_reagrupante	RELACIONADO	reagrupacion_familiar
247	omision_del_preaviso	RELACIONADO	preaviso
248	resolucion_unilateral_sin_preaviso	RELACIONADO	acto_unilateral
249	resolucion_unilateral_sin_preaviso	RELACIONADO	falta_de_preaviso
250	resolucion_unilateral_sin_preaviso	RELACIONADO	preaviso
251	velocidad_del_vehiculo	RELACIONADO	vehiculo
252	obligacion_de_comunicacion_del_preaviso	RELACIONADO	preaviso
253	velocidad_del_vehiculo	RELACIONADO	control_de_velocidad
254	velocidad_del_vehiculo	RELACIONADO	exceso_de_velocidad
255	velocidad_del_vehiculo	RELACIONADO	accidente_de_trafico
256	velocidad_del_vehiculo	RELACIONADO	seguro_de_accidentes
257	retirada_de_vehiculo	RELACIONADO	vehiculo
258	velocidad_inadecuada	RELACIONADO	accidente
259	retirada_de_vehiculo	RELACIONADO	imposicion_de_sancion
260	retirada_de_vehiculo	RELACIONADO	daños_a_vehiculo
261	retirada_de_vehiculo	RELACIONADO	colision_de_vehiculos
262	retirada_de_vehiculo	RELACIONADO	estacionamiento_de_vehiculo
263	visibilidad_del_vehiculo	RELACIONADO	vehiculo
264	visibilidad_del_vehiculo	RELACIONADO	delito_contra_la_seguridad_vial
265	visibilidad_del_vehiculo	RELACIONADO	seguridad_vial
266	visibilidad_del_vehiculo	RELACIONADO	seguridad_en_el_transporte
267	visibilidad_del_vehiculo	RELACIONADO	seguridad_del_vehiculo
268	visibilidad_del_vehiculo	RELACIONADO	condiciones_de_seguridad
269	vehiculo_homologado	RELACIONADO	cinturon_de_seguridad
270	vehiculo_homologado	RELACIONADO	seguridad_del_vehiculo
271	caravana_de_vehiculos	RELACIONADO	accidente_de_trafico
272	caravana_de_vehiculos	RELACIONADO	circulacion_de_vehiculos
273	vehiculo_blindado	RELACIONADO	seguridad_del_vehiculo
274	vehiculo_blindado	RELACIONADO	destruccion_del_vehiculo
275	vehiculo_blindado	RELACIONADO	condiciones_de_seguridad
276	amortizacion_parcial	RELACIONADO	abono_de_cuotas_de_amortizacion
277	amortizacion_parcial	RELACIONADO	calculo_de_amortizacion
278	amortizacion_parcial	RELACIONADO	cancelacion_anticipada_del_prestamo
279	amortizacion_parcial	RELACIONADO	cuota_de_amortizacion
280	denegacion_de_inscripcion	RELACIONADO	actos_inscribibles
281	denegacion_de_inscripcion	RELACIONADO	inscripcion
282	denegacion_de_la_expedicion_de_certificado_de_inscripcion	RELACIONADO	expedicion_de_certificado
283	denegacion_de_la_expedicion_de_certificado_de_inscripcion	RELACIONADO	actos_inscribibles
284	denegacion_de_la_expedicion_de_certificado_de_inscripcion	RELACIONADO	inscripcion
285	amortizacion_parcial	RELACIONADO	credito_hipotecario
286	denegacion_de_la_inscripcion_registral	RELACIONADO	actos_inscribibles
287	impago_de_las_cuotas_de_amortizacion	RELACIONADO	impago_de_deuda
288	impago_de_las_cuotas_de_amortizacion	RELACIONADO	impago_de_cuotas
289	denegacion_de_la_inscripcion_registral	RELACIONADO	inscripcion
290	denegacion_de_la_inscripcion_de_la_marca	RELACIONADO	registro_de_la_marca
291	impago_de_las_cuotas_de_amortizacion	RELACIONADO	proteccion_al_deudor_hipotecario
292	activo_de_la_sociedad_ganancial	RELACIONADO	liquidacion_de_gananciales
293	registro_de_colegios_profesionales_de_la_generalitat_de_cataluña	RELACIONADO	colegio_profesional
294	impago_de_las_cuotas_de_amortizacion	RELACIONADO	vencimiento_anticipado_del_prestamo
295	impago_de_las_cuotas_de_amortizacion	RELACIONADO	amortizacion_de_prestamo
296	impago_de_las_cuotas_de_amortizacion	RELACIONADO	abono_de_cuotas_de_amortizacion
297	activo_de_la_sociedad_ganancial	RELACIONADO	inventario_de_la_sociedad_de_gananciales
298	registro_de_colegios_profesionales_de_la_generalitat_de_cataluña	RELACIONADO	generalidad_de_cataluña
299	amortizacion_de_la_hipoteca	RELACIONADO	hipoteca
300	activo_de_la_sociedad_ganancial	RELACIONADO	bienes_gananciales
301	pasivo_de_la_sociedad_ganancial	RELACIONADO	inventario_de_la_sociedad_de_gananciales
302	pasivo_de_la_sociedad_ganancial	RELACIONADO	bienes_gananciales
303	pasivo_de_la_sociedad_ganancial	RELACIONADO	liquidacion_de_gananciales
304	pasivo_de_la_sociedad_ganancial	RELACIONADO	credito_de_la_sociedad_de_gananciales
305	amortizacion_de_la_hipoteca	RELACIONADO	abono_de_cuotas_de_amortizacion
306	amortizacion_de_la_hipoteca	RELACIONADO	amortizacion_periodica
307	amortizacion_contable	RELACIONADO	contabilidad
308	amortizacion_contable	RELACIONADO	beneficio_fiscal
309	amortizacion_contable	RELACIONADO	elementos_del_inmovilizado
310	amortizacion_contable	RELACIONADO	inmovilizado_material
311	estudio_paisajistico	RELACIONADO	impacto_paisajistico
312	deduccion_de_amortizacion	RELACIONADO	amortizacion
313	deduccion_de_amortizacion	RELACIONADO	depreciacion_efectiva
314	deduccion_de_amortizacion	RELACIONADO	gasto_de_amortizacion
315	cartografia_oficial	RELACIONADO	hoja_cartografica
316	deduccion_de_amortizacion	RELACIONADO	dotacion_a_la_amortizacion
317	deduccion_de_amortizacion	RELACIONADO	beneficio_fiscal
318	exceso_de_amortizacion	RELACIONADO	amortizacion
319	exceso_de_amortizacion	RELACIONADO	depreciacion_efectiva
320	exceso_de_amortizacion	RELACIONADO	dotacion_a_la_amortizacion
321	exceso_de_amortizacion	RELACIONADO	coeficiente_de_amortizacion
322	exceso_de_amortizacion	RELACIONADO	beneficio_fiscal
323	exceso_de_amortizacion	RELACIONADO	elementos_del_inmovilizado
324	exceso_de_amortizacion	RELACIONADO	infraccion_tributaria
325	calculo_de_amortizacion	RELACIONADO	variacion_del_tipo_de_interes
326	calculo_de_amortizacion	RELACIONADO	amortizacion
327	calculo_de_amortizacion	RELACIONADO	contrato_de_prestamo
328	calculo_de_amortizacion	RELACIONADO	amortizacion_de_inmovilizado
329	calculo_de_amortizacion	RELACIONADO	beneficio_fiscal
330	calculo_de_amortizacion	RELACIONADO	amortizacion_de_puesto_de_trabajo
331	calculo_de_amortizacion	RELACIONADO	causas_economicas_tecnicas_organizativas_o_productivas
332	marcas_en_conflicto	RELACIONADO	comparativa_de_marcas
