	nombre	descriptivo	principal
269	impuesto_sobre_transmisiones_patrimoniales_y_actos_juridicos_documentados	1.0	1.0
270	in_lliquidis_non_fit_mora	1.0	0.0
271	incapacidad_temporal	1.0	1.0
272	incapacidad	0.0	0.0
273	incidente_de_nulidad	1.0	1.0
274	incompetencia	1.0	0.0
275	incongruencia_extra_petitum	1.0	1.0
276	terminos_de_comercio_internacional	1.0	0.0
277	indivision	1.0	0.0
278	induccion	1.0	0.0
279	ingreso_en_prision	1.0	0.0
280	inicio	1.0	0.0
281	bien_inmueble	1.0	0.0
282	insalud	0.0	0.0
283	inss	0.0	0.0
284	institucion_de_inversion_colectiva	1.0	0.0
285	entidad_no_lucrativa	1.0	0.0
286	interdicto_de_recobrar	1.0	0.0
287	interes_de_demora	1.0	1.0
288	incapacidad_permanente_parcial	1.0	1.0
289	i_d	1.0	0.0
290	invifas	0.0	0.0
291	impuesto_de_la_renta_de_los_no_residentes	1.0	1.0
292	irpf	1.0	1.0
293	impuesto_sobre_transmisiones_patrimoniales	1.0	1.0
294	itv	1.0	1.0
295	derecho_a_poseer_una_cosa_adquirida	1.0	0.0
296	ius_cogens	1.0	0.0
297	iva	1.0	1.0
298	incapacidad_permanente_total	1.0	1.0
299	juegos_de_azar	1.0	1.0
300	juzgado_de_menores	0.0	0.0
301	juzgado_de_paz	0.0	0.0
302	rebeldia_procesal	1.0	0.0
303	juicio_monitorio	0.0	0.0
304	junta_ordinaria	1.0	0.0
305	junta_vecinal	1.0	0.0
306	juzgado_mercantil	0.0	0.0
307	ley_del_regimen_juridico_de_las_administraciones_publicas_y_del_procedimiento_administrativo_comun	0.0	0.0
308	blanqueo_de_capitales	1.0	1.0
309	leaseback	1.0	0.0
310	contrato_de_arrendamiento_financiero	1.0	1.0
311	lec	0.0	0.0
312	ley_de_enjuiciamiento_criminal	0.0	0.0
313	legitimatio_ad_causam	1.0	0.0
314	legitimacion_pasiva	1.0	0.0
315	legitimacion_registral	1.0	0.0
316	levantamiento_del_velo	1.0	1.0
317	ley_de_la_jurisdiccion_contencioso_administrativa	0.0	0.0
318	ley_organica_del_tribunal_del_jurado	0.0	0.0
319	libertad_religiosa_y_de_culto	1.0	0.0
320	libro_contable	1.0	0.0
321	licencia_de_primera_ocupacion	1.0	1.0
322	movilidad_reducida	1.0	0.0
323	litisconsorcio_activo	1.0	0.0
324	litisconsorcio_activo_necesario	1.0	0.0
325	litisconsorcio_pasivo	1.0	0.0
326	litisconsorcio_pasivo_necesario	1.0	1.0
327	liva	0.0	0.0
328	ley_organica_sobre_proteccion_de_la_seguridad_ciudadana	0.0	0.0
329	mala_fe_del_asegurado	1.0	0.0
330	mala_fe	1.0	1.0
331	mala_praxis	1.0	1.0
332	maltrato_familiar	1.0	1.0
333	delito_de_malversacion_de_caudales_publicos	1.0	1.0
334	matrimonio_de_conveniencia	1.0	0.0
335	mayoria_de_edad	1.0	0.0
336	medicina_voluntaria	1.0	0.0
337	medicina	0.0	0.0
338	metodo_de_estimacion_indirecta	1.0	0.0
339	persona_con_discapacidad	1.0	0.0
340	mobbing_inmobiliario	1.0	0.0
341	acoso_laboral	1.0	1.0
342	modificacion_de_estatutos	1.0	1.0
343	moneda_extranjera	1.0	0.0
344	sucesion_mortis_causa	1.0	0.0
345	motocicleta	1.0	0.0
346	movilidad_funcional	1.0	1.0
347	muface	0.0	0.0
348	multipropiedad	1.0	1.0
349	cambio_de_la_demanda	1.0	0.0
350	mutua_de_accidentes	1.0	0.0
351	mutualidad_de_prevision_social	1.0	0.0
352	nasdaq	1.0	0.0
353	naturaleza_salarial	1.0	0.0
354	nexo_causal	1.0	1.0
355	numero_de_identificacion_de_extranjeros	1.0	0.0
356	nif	0.0	0.0
357	normas_subsidiarias	1.0	0.0
358	norma_mas_favorable	1.0	0.0
359	norma_supletoria	1.0	0.0
360	notificacion	1.0	0.0
361	nudo_propietario	1.0	0.0
362	nulidad_matrimonial	1.0	1.0
363	oficina_de_armonizacion_del_mercado_interior	1.0	0.0
364	obligacion_de_declarar	1.0	0.0
365	obligacion_real	1.0	0.0
366	obra_no_autorizada	1.0	0.0
367	oficina_española_de_patentes_y_marcas	0.0	0.0
368	organizacion_internacional_del_trabajo	0.0	0.0
369	omision	1.0	0.0
370	ong	1.0	0.0
371	sociedad_estatal_loterias_y_apuestas_del_estado	0.0	0.0
372	onu	0.0	0.0
373	carga_de_la_prueba	1.0	1.0
374	orden_de_alejamiento	1.0	1.0
375	ordenacion_pormenorizada	1.0	0.0
376	organizacion_mundial_de_la_propiedad_intelectual	0.0	0.0
377	organizacion_mundial_de_la_salud	0.0	0.0
378	organos_sociales	1.0	0.0
379	otan	0.0	0.0
380	pacta_sunt_servanda	1.0	0.0
